Text,Image URL,Tags,Posting Time
"Today we begin *Sanctity of Human Life Month.*

All month long we’ll share prayers, practical ways to serve, and reminders that every person is created with inherent dignity—from the womb to the final breath.

Follow along, share these posts, and join us in building a culture of life. ❤️

#SanctityOfHumanLife #CultureOfLife #ChooseLife",,,2026-01-06 10:00
"A simple prayer for today:

“God of life, help us see Your image in every person. Give courage to the fearful, comfort to the grieving, and strength to those who serve. Make us people who protect the vulnerable and love without condition. Amen.”

#SanctityOfHumanLife #Prayer #LoveInAction",,,2026-01-07 10:00
"STORY: Tap to pray →
• For moms and dads
• For babies
• For those grieving
• For those serving

(Use poll sticker: “I prayed” / “Pray for me”)

#SanctityOfHumanLife",,,2026-01-07 19:30
"Many churches observe *Sanctity of Life Sunday* on **January 18, 2026**.

Let’s prepare our hearts now—through prayer, learning, and tangible support for moms, dads, babies, and families in our community.

#SanctityOfLifeSunday #SanctityOfHumanLife #January",,,2026-01-08 10:00
"Want a practical way to love neighbors?

This week we’re collecting *diapers, wipes, and gift cards* to support families facing unexpected pregnancies.

📍Drop-off: [LOCATION]
🗓️By: [DEADLINE]

Every package is a message: “You’re not alone.”

#LoveInAction #SupportMoms #SanctityOfHumanLife

RESOURCE",,,2026-01-09 10:00
"Hard conversations go better with humility.

Try this:
1) Ask questions before assuming.
2) Listen for the story.
3) Offer help—not judgment.

This month, let’s speak about life with compassion and gentleness.

#Kindness #Compassion #SanctityOfHumanLife",,,2026-01-10 10:00
"STORY CHALLENGE: Do one life-giving thing today.

✅ Text encouragement
✅ Bring a meal
✅ Donate diapers
✅ Pray for a friend

(Question sticker: “What did you do?”)

#LoveInAction

RESOURCE",,,2026-01-10 19:30
"Sunday is a great day to reset.

Join us for worship and a message on the value of every life.
🕘 [SERVICE TIME]
📍 [ADDRESS]

Bring a friend—and bring your prayers for families in our community.

#Sunday #SanctityOfHumanLife #Community

RSVP",,,2026-01-11 08:30
"No one should face a pregnancy decision alone.

If you (or someone you know) needs a listening ear, confidential support, or practical resources, we can help connect you.

You are seen. You are loved. You have options.

#Support #Hope #SanctityOfHumanLife

RESOURCE",,,2026-01-12 10:00
"STORY: Need support or know someone who does?

Confidential help + practical resources.
➡️ Tap the link / Learn More

#Support #Hope

RESOURCE",,,2026-01-12 19:30
"Why we care about the sanctity of human life:

✅ Because every person has God-given worth.
✅ Because love shows up in real needs—rides, meals, childcare, counseling.
✅ Because hope changes stories.

Thank you for being part of a community that chooses compassion.

#Mission #ThankYou #SanctityOfHumanLife",,,2026-01-13 10:00
"“I praise you because I am fearfully and wonderfully made.” — Psalm 139:14

Today, let this be a reminder: your life matters, and so does the life of every neighbor you meet.

#Psalm139 #LifeIsSacred #SanctityOfHumanLife",,,2026-01-14 10:00
"STORY QUIZ:
“Sanctity of Life Sunday is on which date in 2026?”
A) Jan 11
B) Jan 18
C) Jan 25

(Answer: Jan 18)

#SanctityOfLifeSunday",,,2026-01-14 19:30
"Volunteer Spotlight ✨

Meet [NAME], who serves by [ROLE/EXAMPLE].

When we show up consistently, families experience real support—not just words.

Want to join the team? We’ll help you find your fit.

#Volunteer #Serve #SanctityOfHumanLife

VOLUNTEER",,,2026-01-15 10:00
"REEL IDEA: “Why I serve”

Film 3–4 quick clips (smiling volunteers, assembling care kits, prayer circle) + one line on screen:
“Because every life is worth showing up for.”

Caption: What’s one way you can show up this week?

#Reels #Serve #SanctityOfHumanLife",,,2026-01-16 10:00
"Tomorrow (**Jan 18**) is *Sanctity of Life Sunday* for many churches.

Would you join us in:
• Praying for families
• Supporting life-affirming resources
• Choosing compassion in every conversation

We’re grateful for you.

#SanctityOfLifeSunday #SanctityOfHumanLife #Prayer

RSVP",,,2026-01-17 10:00
"Today is *Sanctity of Life Sunday* for many congregations (January 18, 2026).

We remember that every human life is precious—and we recommit to love in action:
🤝 Support families
🍼 Meet practical needs
🙏 Pray for healing and hope

Thank you for standing for life with compassion.

#SanctityOfLifeSunday #SanctityOfHumanLife #LoveInAction

DONATE",,,2026-01-18 08:30
"STORY: Thank you for celebrating Sanctity of Life Sunday with us.

If you’d like to help families with practical support, tap to give.

#ThankYou #Give

DONATE",,,2026-01-18 19:30
"Today is Martin Luther King Jr. Day (Jan 19, 2026)—often called a “day on” for service.

Honoring human dignity means serving neighbors who are vulnerable.

If you can, take one small step today: write an encouragement note, drop off supplies, or volunteer an hour.

#MLKDay #DayOfService #HumanDignity",,,2026-01-19 10:00
"This week’s *top needs* to support families:
• Diapers (sizes 3–6)
• Wipes
• Formula
• Gas / grocery gift cards

You can make a real difference with something simple. ❤️

#SupportFamilies #LoveInAction #SanctityOfHumanLife

RESOURCE",,,2026-01-20 10:00
"STORY: This week’s top needs →
• Diapers 3–6
• Wipes
• Formula
• Gift cards

Tap for drop-off info.

#SupportFamilies

RESOURCE",,,2026-01-20 19:30
"Life-affirming love takes many forms—mentoring, foster care, adoption support, respite care, and being a steady friend.

If you’ve walked one of these paths, thank you.
If you’re curious, we’d love to connect you with next steps.

#FosterCare #Adoption #SupportFamilies

VOLUNTEER",,,2026-01-21 10:00
"January 22 is often recognized as *National Sanctity of Human Life Day*.

Today, we reaffirm a simple truth: every person—born and unborn, young and old—has inherent worth.

Let’s be people who protect, serve, and love well.

#SanctityOfHumanLife #January22 #Dignity",,,2026-01-22 10:00
"STORY: January 22 — a day to recommit to protecting the vulnerable.

Prayer: “Make us people who love well.”

#January22 #Dignity",,,2026-01-22 19:30
"REEL IDEA: “3 ways to help this month”
1) Pray
2) Give supplies / donate
3) Volunteer

Caption: Ready to jump in? Tap the link to get connected.

#Reels #GetInvolved #SanctityOfHumanLife

VOLUNTEER",,,2026-01-23 10:00
"How to support a friend facing an unexpected pregnancy:

1) Listen without panic
2) Offer to go with them to an appointment
3) Help with meals/childcare
4) Share trusted local resources

Love looks like presence.

#Compassion #Support #SanctityOfHumanLife

RESOURCE",,,2026-01-24 10:00
